stem,pos,description
aktsiz,NOUN,Noun {Ot}
aktual,NOUN,Noun {Ot}
aktualizatsiya,NOUN,Noun {Ot}
aktualizm,NOUN,Noun {Ot}
aktuallik,NOUN,Noun {Ot}
aktuariy,ADJ,Adjective {Sifat}
aktuariy,NOUN,Noun {Ot}
aktyor,NOUN,Noun {Ot}
aktyorlik,ADJ,Adjective {Sifat}
aktyorlik,NOUN,Noun {Ot}
aktyubinsklik,NOUN,Noun {Ot}
akula,NOUN,Noun {Ot}
akulasimonlar,NOUN,Noun {Ot}
akumetriya,NOUN,Noun {Ot}
akupunktura,NOUN,Noun {Ot}
akusher,NOUN,Noun {Ot}
akusher-ginekolog,NOUN,Noun {Ot}
akusherka,NOUN,Noun {Ot}
akusherkalik,NOUN,Noun {Ot}
akusherlik,ADJ,Adjective {Sifat}
akusherlik,NOUN,Noun {Ot}
akustik,ADJ,Adjective {Sifat}
akustik,NOUN,Noun {Ot}
akustika,NOUN,Noun {Ot}
akustikaviy,NOUN,Noun {Ot}
akustikon,NOUN,Noun {Ot}
akustimetr,NOUN,Noun {Ot}
akustoelektronika,NOUN,Noun {Ot}
akustooptika,NOUN,Noun {Ot}
akuterapiya,NOUN,Noun {Ot}
akuzalgiya,NOUN,Noun {Ot}
akva,NOUN,Noun {Ot}
akvadag,NOUN,Noun {Ot}
akvagel,NOUN,Noun {Ot}
akvalang,NOUN,Noun {Ot}
akvalangchi,NOUN,Noun {Ot}
akvamarin,NOUN,Noun {Ot}
akvametriya,NOUN,Noun {Ot}
akvanavt,NOUN,Noun {Ot}
akvapark,NOUN,Noun {Ot}
akvarel,NOUN,Noun {Ot}
akvarelchi,NOUN,Noun {Ot}
akvarelist,NOUN,Noun {Ot}
akvaridlar,NOUN,Noun {Ot}
akvarium,NOUN,Noun {Ot}
akvatinta,NOUN,Noun {Ot}
akvatipiya,NOUN,Noun {Ot}
akvatollar,NOUN,Noun {Ot}
akvatoriya,NOUN,Noun {Ot}
akvatropizm,NOUN,Noun {Ot}
akveduk,ADJ,Adjective {Sifat}
akveduk,NOUN,Noun {Ot}
akveliya,NOUN,Noun {Ot}
akvilegiya,NOUN,Noun {Ot}
akvilon,NOUN,Noun {Ot}
akvizitor,NOUN,Noun {Ot}
al,NOUN,Noun {Ot}
al'amon,ADJ,Adjective {Sifat}
al'amon,PRN,Pronoun {Olmosh}
al-qonun,NOUN,Noun {Ot}
alacha,ADV,Adverb {Ravish}
alacha,NOUN,Noun {Ot}
alachabof,NOUN,Noun {Ot}
alachabop,NOUN,Noun {Ot}
aladdavom,NOUN,Noun {Ot}
alaf,NOUN,Noun {Ot}
alag',NOUN,Noun {Ot}
alag'da,NOUN,Noun {Ot}
alag'siramoq,ADJ,Adjective {Sifat}
alag'siramoq,NOUN,Noun {Ot}
alag'siramoq,PRN,Pronoun {Olmosh}
alag'sira,VERB,Verb {Fe'l}
alag‘da,NOUN,Noun {Ot}
alag‘dala,VERB,Verb {Fe'l}
alag‘dalan,VERB,Verb {Fe'l}
alag‘dalanish,NOUN,Noun {Ot}
alag‘dalik,NOUN,Noun {Ot}
alahla,VERB,Verb {Fe'l}
alahlamoq,ADJ,Adjective {Sifat}
alahlamoq,NOUN,Noun {Ot}
alahlamoq,PRN,Pronoun {Olmosh}
alahlash,NOUN,Noun {Ot}
alahsira,VERB,Verb {Fe'l}
alahsirash,NOUN,Noun {Ot}
alak,ADJ,Adjective {Sifat}
alak,NOUN,Noun {Ot}
alakbof,NOUN,Noun {Ot}
alakchi,NOUN,Noun {Ot}
alakchilik,NOUN,Noun {Ot}
alakla,VERB,Verb {Fe'l}
alaklash,NOUN,Noun {Ot}
alaksiramoq,NOUN,Noun {Ot}
alaksirash,NOUN,Noun {Ot}
alaksirov,NOUN,Noun {Ot}
alakulit,NOUN,Noun {Ot}
alalabad,NOUN,Noun {Ot}
alaliya,NOUN,Noun {Ot}
alaloqibat,NOUN,Noun {Ot}
alalxusus,NOUN,Noun {Ot}
alam,NOUN,Noun {Ot}
alam-achchiq,ADJ,Adjective {Sifat}
alam-achchiq,NOUN,Noun {Ot}
alam-angiz,NOUN,Noun {Ot}
alam-azak,NOUN,Noun {Ot}
alam-hasrat,NOUN,Noun {Ot}
alam-iztirob,NOUN,Noun {Ot}
alam-sitam,NOUN,Noun {Ot}
alamangiz,NOUN,Noun {Ot}
alamdiyda,NOUN,Noun {Ot}
alamdor,NOUN,Noun {Ot}
alamdor,PRN,Pronoun {Olmosh}
alamdorlik,NOUN,Noun {Ot}
alamlanmoq,ADJ,Adjective {Sifat}
alamlanmoq,NOUN,Noun {Ot}
alamlanmoq,PRN,Pronoun {Olmosh}
alamlan,VERB,Verb {Fe'l}
alamlar,NOUN,Noun {Ot}
alamli,ADJ,Adjective {Sifat}
alamli,NOUN,Noun {Ot}
alamnok,ADJ,Adjective {Sifat}
alamnok,NOUN,Noun {Ot}
alamon,ADJ,Adjective {Sifat}
alamon,NOUN,Noun {Ot}
alamon,PRN,Pronoun {Olmosh}
alamozit,NOUN,Noun {Ot}
alamsiz,NOUN,Noun {Ot}
alamu,NOUN,Noun {Ot}
alamzada,NOUN,Noun {Ot}
alamzadalik,NOUN,Noun {Ot}
alang-alang,NOUN,Noun {Ot}
alang-jalang,NOUN,Noun {Ot}
alang-jalanglan,VERB,Verb {Fe'l}
alang-jalanglash,NOUN,Noun {Ot}
alanga,NOUN,Noun {Ot}
alangala,VERB,Verb {Fe'l}
alangalan,VERB,Verb {Fe'l}
alangalanish,NOUN,Noun {Ot}
alangalanmoq,ADJ,Adjective {Sifat}
alangalanmoq,NOUN,Noun {Ot}
alangalanmoq,PRN,Pronoun {Olmosh}
alangalantir,VERB,Verb {Fe'l}
alangalantirgich,NOUN,Noun {Ot}
alangalantirish,NOUN,Noun {Ot}
alangalanuv,NOUN,Noun {Ot}
alangalanuvchan,NOUN,Noun {Ot}
alangalanuvchi,NOUN,Noun {Ot}
alangalat,VERB,Verb {Fe'l}
alangalatish,NOUN,Noun {Ot}
alangali,ADJ,Adjective {Sifat}
alangali,NOUN,Noun {Ot}
alangalik,NOUN,Noun {Ot}
alangasiz,NOUN,Noun {Ot}
alangasizlik,NOUN,Noun {Ot}
alangla,VERB,Verb {Fe'l}
alanglamoq,ADJ,Adjective {Sifat}
alanglamoq,NOUN,Noun {Ot}
alanglamoq,PRN,Pronoun {Olmosh}
alanglan,VERB,Verb {Fe'l}
alanglash,NOUN,Noun {Ot}
alanglash,VERB,Verb {Fe'l}
alanglat,VERB,Verb {Fe'l}
alanglay-alanglay,NOUN,Noun {Ot}
alanglov,NOUN,Noun {Ot}
alanin,NOUN,Noun {Ot}
alanlar,NOUN,Noun {Ot}
alanton,NOUN,Noun {Ot}
alantopikrin,NOUN,Noun {Ot}
alapi,NOUN,Noun {Ot}
alaq-chalaq,ADJ,Adjective {Sifat}
alaq-chalaq,NOUN,Noun {Ot}
alas,NOUN,Noun {Ot}
alas-alas,NOUN,Noun {Ot}
alaschi,NOUN,Noun {Ot}
alaschilik,NOUN,Noun {Ot}
alash,NOUN,Noun {Ot}
alasla,VERB,Verb {Fe'l}
alaslamoq,ADJ,Adjective {Sifat}
alaslamoq,NOUN,Noun {Ot}
alaslamoq,PRN,Pronoun {Olmosh}
alaslov,NOUN,Noun {Ot}
alaslovchi,NOUN,Noun {Ot}
alaviylar,NOUN,Noun {Ot}
alaxsi,VERB,Verb {Fe'l}
alaxsimoq,ADJ,Adjective {Sifat}
alaxsimoq,NOUN,Noun {Ot}
alaxsimoq,PRN,Pronoun {Olmosh}
alaxsish,NOUN,Noun {Ot}
alaxsit,VERB,Verb {Fe'l}
alaxsitish,NOUN,Noun {Ot}
alaxsuv,NOUN,Noun {Ot}
alay-balay,ADV,Adverb {Ravish}
alay-balay,NOUN,Noun {Ot}
alay-bulay,NOUN,Noun {Ot}
alayh,NOUN,Noun {Ot}
alayhilla'na,NOUN,Noun {Ot}
alayhilla’na,NOUN,Noun {Ot}
alayhissalom,NOUN,Noun {Ot}
alaykum,NOUN,Noun {Ot}
alayno,NOUN,Noun {Ot}
alayno-oshkor,NOUN,Noun {Ot}
alban,ADV,Adverb {Ravish}
alban,NOUN,Noun {Ot}
albancha,NOUN,Noun {Ot}
albanchala,VERB,Verb {Fe'l}
albanchalash,NOUN,Noun {Ot}
albaniyalik,NOUN,Noun {Ot}
albanlar,NOUN,Noun {Ot}
albat,NOUN,Noun {Ot}
albatros,NOUN,Noun {Ot}
albatrossimonlar,NOUN,Noun {Ot}
albatta,MOD,Modal {Modal}
albatta,NOUN,Noun {Ot}
albedo,NOUN,Noun {Ot}
albedometr,NOUN,Noun {Ot}
albertit,NOUN,Noun {Ot}
albinizm,NOUN,Noun {Ot}
albinoslar,NOUN,Noun {Ot}
albit,NOUN,Noun {Ot}
albitit,NOUN,Noun {Ot}
albitlanish,NOUN,Noun {Ot}
albitofir,NOUN,Noun {Ot}
albitssiya,NOUN,Noun {Ot}
albixtol,NOUN,Noun {Ot}
albolin,NOUN,Noun {Ot}
albolit,NOUN,Noun {Ot}
albom,NOUN,Noun {Ot}
albomitsin,NOUN,Noun {Ot}
alboranit,NOUN,Noun {Ot}
albumin,NOUN,Noun {Ot}
albuminlar,NOUN,Noun {Ot}
albumins,NOUN,Noun {Ot}
albuminura,NOUN,Noun {Ot}
albuminuriya,NOUN,Noun {Ot}
albumoz,NOUN,Noun {Ot}
albutsid,NOUN,Noun {Ot}
alda,NOUN,Noun {Ot}
alda,VERB,Verb {Fe'l}
aldab-suldab,NOUN,Noun {Ot}
aldam,NOUN,Noun {Ot}
aldam-qaldam,NOUN,Noun {Ot}
aldam-qaldamlik,NOUN,Noun {Ot}
aldamchi,NOUN,Noun {Ot}
aldamchilik,ADJ,Adjective {Sifat}
aldamchilik,NOUN,Noun {Ot}
aldamoq,ADJ,Adjective {Sifat}
aldamoq,NOUN,Noun {Ot}
aldamoq,PRN,Pronoun {Olmosh}
aldamoqlik,NOUN,Noun {Ot}
aldan,VERB,Verb {Fe'l}
aldana-aldana,NOUN,Noun {Ot}
aldanganlik,NOUN,Noun {Ot}
aldangansimon,NOUN,Noun {Ot}
aldanil,VERB,Verb {Fe'l}
aldanish,NOUN,Noun {Ot}
aldanma,NOUN,Noun {Ot}
aldanmaslik,NOUN,Noun {Ot}
aldanmoqlik,NOUN,Noun {Ot}
aldanuv,NOUN,Noun {Ot}
aldanuvchan,NOUN,Noun {Ot}
aldash,NOUN,Noun {Ot}
aldash,VERB,Verb {Fe'l}
aldashish,NOUN,Noun {Ot}
aldashuv,NOUN,Noun {Ot}
aldat,VERB,Verb {Fe'l}
aldatish,NOUN,Noun {Ot}
aldebaran,NOUN,Noun {Ot}
aldegid,NOUN,Noun {Ot}
aldegidlar,NOUN,Noun {Ot}
aldol,NOUN,Noun {Ot}
aldolaza,NOUN,Noun {Ot}
aldollar,NOUN,Noun {Ot}
aldoloza,NOUN,Noun {Ot}
aldoq,NOUN,Noun {Ot}
aldoqchi,NOUN,Noun {Ot}
aldoqchilik,ADJ,Adjective {Sifat}
aldoqchilik,NOUN,Noun {Ot}
aldosteron,NOUN,Noun {Ot}
aldov,NOUN,Noun {Ot}
aldov-suldov,NOUN,Noun {Ot}
aldovchi,NOUN,Noun {Ot}
aldovchilik,NOUN,Noun {Ot}
aldoza,NOUN,Noun {Ot}
aldozalar,NOUN,Noun {Ot}
aldrin,NOUN,Noun {Ot}
aldrovanda,NOUN,Noun {Ot}
alebastr,NOUN,Noun {Ot}
alebastrchi,NOUN,Noun {Ot}
alebastrchilik,NOUN,Noun {Ot}
alebastrla,VERB,Verb {Fe'l}
alebastrlash,NOUN,Noun {Ot}
alebastrli,NOUN,Noun {Ot}
alebastrlov,NOUN,Noun {Ot}
aleksandr,NOUN,Noun {Ot}
aleksandrit,NOUN,Noun {Ot}
aleksanor,NOUN,Noun {Ot}
aleksey,NOUN,Noun {Ot}
aleksiya,NOUN,Noun {Ot}
alemannlar,NOUN,Noun {Ot}
aleut,NOUN,Noun {Ot}
aleutcha,NOUN,Noun {Ot}
aleutit,NOUN,Noun {Ot}
aleutlar,NOUN,Noun {Ot}
alevrit,NOUN,Noun {Ot}
alevrolit,NOUN,Noun {Ot}
alevropelit,NOUN,Noun {Ot}
aleykemiya,NOUN,Noun {Ot}
aleykiya,NOUN,Noun {Ot}
aleyrodidlar,NOUN,Noun {Ot}
aleyrometr,NOUN,Noun {Ot}
aleyron,NOUN,Noun {Ot}
alfa,NOUN,Noun {Ot}
alfa-aktivlik,NOUN,Noun {Ot}
alfa-aylanish,NOUN,Noun {Ot}
alfa-chiziq,NOUN,Noun {Ot}
alfa-dozimetr,NOUN,Noun {Ot}
alfa-dozimetriya,NOUN,Noun {Ot}
alfa-faza,NOUN,Noun {Ot}
alfa-kamera,NOUN,Noun {Ot}
alfa-manba,NOUN,Noun {Ot}
alfa-nurlanish,NOUN,Noun {Ot}
alfa-nurlar,NOUN,Noun {Ot}
alfa-nurlatgich,NOUN,Noun {Ot}
alfa-nurlovchi,NOUN,Noun {Ot}
alfa-o‘tish,NOUN,Noun {Ot}
alfa-parchalanish,NOUN,Noun {Ot}
alfa-radioaktivlik,NOUN,Noun {Ot}
alfa-radiometr,NOUN,Noun {Ot}
alfa-spektr,NOUN,Noun {Ot}
alfa-spektrograf,NOUN,Noun {Ot}
alfa-spektrometr,NOUN,Noun {Ot}
alfa-stabilizator,NOUN,Noun {Ot}
alfa-tarmoq,NOUN,Noun {Ot}
alfa-temir,NOUN,Noun {Ot}
alfa-terapiya,NOUN,Noun {Ot}
alfa-uran,NOUN,Noun {Ot}
alfa-viruslar,NOUN,Noun {Ot}
alfa-yemirilish,NOUN,Noun {Ot}
alfa-zarralar,NOUN,Noun {Ot}
alfametr,NOUN,Noun {Ot}
alfatron,NOUN,Noun {Ot}
alfavit,NOUN,Noun {Ot}
alfer,NOUN,Noun {Ot}
alfiroq,NOUN,Noun {Ot}
alfol,NOUN,Noun {Ot}
alfoz,NOUN,Noun {Ot}
alfozda,NOUN,Noun {Ot}
alg'ov,PRN,Pronoun {Olmosh}
alg'ov-dalg'ov,PRN,Pronoun {Olmosh}
algaritlar,NOUN,Noun {Ot}
algebra,NOUN,Noun {Ot}
algebraik,ADJ,Adjective {Sifat}
algebraik,NOUN,Noun {Ot}
algezimetr,NOUN,Noun {Ot}
algeziya,NOUN,Noun {Ot}
alginat,NOUN,Noun {Ot}
algitsidlar,NOUN,Noun {Ot}
algol,NOUN,Noun {Ot}
algolog,NOUN,Noun {Ot}
algologiya,NOUN,Noun {Ot}
algorifm,NOUN,Noun {Ot}
algoritm,NOUN,Noun {Ot}
algoritmik,NOUN,Noun {Ot}
algoritmla,VERB,Verb {Fe'l}
algoritmlash,NOUN,Noun {Ot}
algovit,NOUN,Noun {Ot}
alg‘araz,NOUN,Noun {Ot}
alg‘i,NOUN,Noun {Ot}
alg‘oq-dalg‘oq,NOUN,Noun {Ot}
alg‘ov,NOUN,Noun {Ot}
alg‘ov-dalg‘ov,NOUN,Noun {Ot}
alg‘ov-dalg‘ovchi,NOUN,Noun {Ot}
alg‘ov-dalg‘ovchilik,NOUN,Noun {Ot}
alhamdu,NOUN,Noun {Ot}
alhamdulillah,NOUN,Noun {Ot}
alhamdulillo,NOUN,Noun {Ot}
alhamdulilloh,NOUN,Noun {Ot}
alhaq,NOUN,Noun {Ot}
alhazar,NOUN,Noun {Ot}
alhol,NOUN,Noun {Ot}
alholda,NOUN,Noun {Ot}
alholgacha,NOUN,Noun {Ot}
alhosil,NOUN,Noun {Ot}
ali,ADJ,Adjective {Sifat}
ali,NOUN,Noun {Ot}
ali,PPN,Atoqli ot
alibi,NOUN,Noun {Ot}
alidada,NOUN,Noun {Ot}
alif,NOUN,Noun {Ot}
alifatik,NOUN,Noun {Ot}
alifbe,NOUN,Noun {Ot}
alifbo,NOUN,Noun {Ot}
alifday,NOUN,Noun {Ot}
alifla,VERB,Verb {Fe'l}
aliflamoq,ADJ,Adjective {Sifat}
aliflamoq,NOUN,Noun {Ot}
aliflamoq,PRN,Pronoun {Olmosh}
aliflan,VERB,Verb {Fe'l}
aliflash,NOUN,Noun {Ot}
aliflash,VERB,Verb {Fe'l}
aliflov,NOUN,Noun {Ot}
alifmoy,NOUN,Noun {Ot}
alignin,NOUN,Noun {Ot}
aligota,NOUN,Noun {Ot}
aligote,NOUN,Noun {Ot}
aliilohiylar,NOUN,Noun {Ot}
alik,ADJ,Adjective {Sifat}
alik,NOUN,Noun {Ot}
aliklash,VERB,Verb {Fe'l}
alim,NOUN,Noun {Ot}
aliment,NOUN,Noun {Ot}
alimentar,NOUN,Noun {Ot}
alimentatsiya,NOUN,Noun {Ot}
alimentchi,NOUN,Noun {Ot}
alios,NOUN,Noun {Ot}
alipit,NOUN,Noun {Ot}
alish,NOUN,Noun {Ot}
alish,VERB,Verb {Fe'l}
alisher,NOUN,Noun {Ot}
alishin,VERB,Verb {Fe'l}
alishinmoq,ADJ,Adjective {Sifat}
alishinmoq,NOUN,Noun {Ot}
alishinmoq,PRN,Pronoun {Olmosh}
alishish,NOUN,Noun {Ot}
alishish,VERB,Verb {Fe'l}
alishmaslik,NOUN,Noun {Ot}
alishmoq,ADJ,Adjective {Sifat}
alishmoq,NOUN,Noun {Ot}
alishmoq,PRN,Pronoun {Olmosh}
alishmoqlik,NOUN,Noun {Ot}
alishtir,VERB,Verb {Fe'l}
alishtiril,VERB,Verb {Fe'l}
alishtirish,NOUN,Noun {Ot}
alishtirmaslik,NOUN,Noun {Ot}
alishtiruv,NOUN,Noun {Ot}
alishtiruvchi,NOUN,Noun {Ot}
alishuv,NOUN,Noun {Ot}
alishuvchi,NOUN,Noun {Ot}
alismadoshlar,NOUN,Noun {Ot}
alitsiklik,NOUN,Noun {Ot}
alizarin,ADV,Adverb {Ravish}
alizarin,NOUN,Noun {Ot}
alizarinla,VERB,Verb {Fe'l}
alizarinlash,NOUN,Noun {Ot}
alizarinlov,NOUN,Noun {Ot}
alizonit,NOUN,Noun {Ot}
aljabr,NOUN,Noun {Ot}
aljayi-anvoyi,NOUN,Noun {Ot}
alji,VERB,Verb {Fe'l}
aljimoq,ADJ,Adjective {Sifat}
aljimoq,NOUN,Noun {Ot}
aljimoq,PRN,Pronoun {Olmosh}
aljimoqlik,NOUN,Noun {Ot}
aljira,VERB,Verb {Fe'l}
aljiraganlik,NOUN,Noun {Ot}
aljiramoq,ADJ,Adjective {Sifat}
aljiramoq,NOUN,Noun {Ot}
aljiramoq,PRN,Pronoun {Olmosh}
aljiramoqlik,NOUN,Noun {Ot}
aljirat,VERB,Verb {Fe'l}
aljish,NOUN,Noun {Ot}
aljish,VERB,Verb {Fe'l}
aljit,VERB,Verb {Fe'l}
aljus,NOUN,Noun {Ot}
alkad,NOUN,Noun {Ot}
alkadiyenlar,NOUN,Noun {Ot}
alkalimetrik,NOUN,Noun {Ot}
alkalimetriya,NOUN,Noun {Ot}
alkaloid,NOUN,Noun {Ot}
alkaloidlar,NOUN,Noun {Ot}
alkaloidshunos,NOUN,Noun {Ot}
alkaloz,NOUN,Noun {Ot}
alkana,NOUN,Noun {Ot}
alkanlar,NOUN,Noun {Ot}
alkanna,NOUN,Noun {Ot}
alkash,NOUN,Noun {Ot}
alkenlar,NOUN,Noun {Ot}
alkeybant,NOUN,Noun {Ot}
alkid,NOUN,Noun {Ot}
alkil,NOUN,Noun {Ot}
alkillar,NOUN,Noun {Ot}
alkillash,NOUN,Noun {Ot}
alkillovchi,NOUN,Noun {Ot}
alkilsulfatlar,NOUN,Noun {Ot}
alkimyo,NOUN,Noun {Ot}
alkimyogar,NOUN,Noun {Ot}
alkinlar,NOUN,Noun {Ot}
alkogol,NOUN,Noun {Ot}
alkogolik,ADJ,Adjective {Sifat}
alkogolik,NOUN,Noun {Ot}
alkogolimetriya,NOUN,Noun {Ot}
alkogoliz,NOUN,Noun {Ot}
alkogolizatsiya,NOUN,Noun {Ot}
alkogolizm,NOUN,Noun {Ot}
alkogollar,NOUN,Noun {Ot}
alkogolli,NOUN,Noun {Ot}
alkogolsiz,NOUN,Noun {Ot}
alkogolyatlar,NOUN,Noun {Ot}
alkogometriya,NOUN,Noun {Ot}
alkold,NOUN,Noun {Ot}
alkoloid,NOUN,Noun {Ot}
alkor,NOUN,Noun {Ot}
alla,NOUN,Noun {Ot}
alla,PRN,Pronoun {Olmosh}
alla-palla,NOUN,Noun {Ot}
alla-palla,PRN,Pronoun {Olmosh}
allachi,NOUN,Noun {Ot}
allago‘y,NOUN,Noun {Ot}
allakim,NOUN,Noun {Ot}
allakim,PRN,Pronoun {Olmosh}
allakimsa,NOUN,Noun {Ot}
allaktit,NOUN,Noun {Ot}
allala,VERB,Verb {Fe'l}
allalamoq,ADJ,Adjective {Sifat}
allalamoq,NOUN,Noun {Ot}
allalamoq,PRN,Pronoun {Olmosh}
allalash,NOUN,Noun {Ot}
allalash,VERB,Verb {Fe'l}
allalov,NOUN,Noun {Ot}
allamahal,NOUN,Noun {Ot}
allamahal,PRN,Pronoun {Olmosh}
allamahalda,NOUN,Noun {Ot}
allamahalgacha,NOUN,Noun {Ot}
allambalo,NOUN,Noun {Ot}
allanarsa,NOUN,Noun {Ot}
allanarsa,PRN,Pronoun {Olmosh}
allanecha,ADV,Adverb {Ravish}
allanecha,NOUN,Noun {Ot}
allanecha,PRN,Pronoun {Olmosh}
allanechuk,ADJ,Adjective {Sifat}
allanechuk,NOUN,Noun {Ot}
allanechuk,PRN,Pronoun {Olmosh}
allanima,NOUN,Noun {Ot}
allanima,PRN,Pronoun {Olmosh}
allanimabalo,NOUN,Noun {Ot}
allanit,NOUN,Noun {Ot}
allantoin,NOUN,Noun {Ot}
allantois,NOUN,Noun {Ot}
allapayt,NOUN,Noun {Ot}
allaqachon,NOUN,Noun {Ot}
allaqachon,PRN,Pronoun {Olmosh}
allaqachonda,NOUN,Noun {Ot}
allaqachondan,NOUN,Noun {Ot}
allaqachongacha,NOUN,Noun {Ot}
allaqachoni,NOUN,Noun {Ot}
allaqachonlari,NOUN,Noun {Ot}
allaqanaqa,NOUN,Noun {Ot}
allaqanaqasiga,NOUN,Noun {Ot}
allaqancha,ADV,Adverb {Ravish}
allaqancha,NOUN,Noun {Ot}
allaqancha,PRN,Pronoun {Olmosh}
allaqandaqa,NOUN,Noun {Ot}
allaqanday,ADV,Adverb {Ravish}
allaqanday,NOUN,Noun {Ot}
allaqanday,PRN,Pronoun {Olmosh}
allaqayda,NOUN,Noun {Ot}
allaqaydan,NOUN,Noun {Ot}
allaqayer,NOUN,Noun {Ot}
allaqayerda,NOUN,Noun {Ot}
allaqayerdan,NOUN,Noun {Ot}
allaqayerga,NOUN,Noun {Ot}
allaqayga,NOUN,Noun {Ot}
allaqayoq,NOUN,Noun {Ot}
allaqayoqda,NOUN,Noun {Ot}
allaqayoqdagi,NOUN,Noun {Ot}
allaqayoqdan,NOUN,Noun {Ot}
allaqayoqqa,NOUN,Noun {Ot}
allaqaysi,NOUN,Noun {Ot}
allaqaysi,PRN,Pronoun {Olmosh}
allavaqt,NOUN,Noun {Ot}
allavaqt,PRN,Pronoun {Olmosh}
allavaqtgacha,NOUN,Noun {Ot}
allazamon,NOUN,Noun {Ot}
allegator,NOUN,Noun {Ot}
allegorik,ADJ,Adjective {Sifat}
allegorik,NOUN,Noun {Ot}
allegoriya,NOUN,Noun {Ot}
allegretto,NOUN,Noun {Ot}
allegro,NOUN,Noun {Ot}
allelizm,NOUN,Noun {Ot}
allellar,NOUN,Noun {Ot}
allelomorf,NOUN,Noun {Ot}
allelopatiya,NOUN,Noun {Ot}
allemonit,NOUN,Noun {Ot}
allemorf,NOUN,Noun {Ot}
allenlar,NOUN,Noun {Ot}
allergen,NOUN,Noun {Ot}
allergenlar,NOUN,Noun {Ot}
allergik,ADJ,Adjective {Sifat}
allergik,NOUN,Noun {Ot}
allergiya,NOUN,Noun {Ot}
allergodermatit,NOUN,Noun {Ot}
allergodermatoz,NOUN,Noun {Ot}
allergolog,NOUN,Noun {Ot}
allergologik,ADJ,Adjective {Sifat}
allergologik,NOUN,Noun {Ot}
allergologiya,NOUN,Noun {Ot}
allevardit,NOUN,Noun {Ot}
alleya,NOUN,Noun {Ot}
alligator,NOUN,Noun {Ot}
alligator,PRN,Pronoun {Olmosh}
alligatorlar,NOUN,Noun {Ot}
allil,NOUN,Noun {Ot}
allilatseton,NOUN,Noun {Ot}
allilbromid,NOUN,Noun {Ot}
allilsat,NOUN,Noun {Ot}
allilxlorid,NOUN,Noun {Ot}
allingit,NOUN,Noun {Ot}
allit,NOUN,Noun {Ot}
alliteratsion,NOUN,Noun {Ot}
alliteratsiya,NOUN,Noun {Ot}
allo,INTJ,Interjection {Undov}
allo,NOUN,Noun {Ot}
allod,NOUN,Noun {Ot}
allof,NOUN,Noun {Ot}
allof-qallof,NOUN,Noun {Ot}
allofanitlar,NOUN,Noun {Ot}
allofchilik,NOUN,Noun {Ot}
alloflik,NOUN,Noun {Ot}
allofon,NOUN,Noun {Ot}
allogamiya,NOUN,Noun {Ot}
allogen,NOUN,Noun {Ot}
allogenez,NOUN,Noun {Ot}
allogenotip,NOUN,Noun {Ot}
allografa,NOUN,Noun {Ot}
alloh,NOUN,Noun {Ot}
alloklaz,NOUN,Noun {Ot}
alloklazit,NOUN,Noun {Ot}
alloksan,NOUN,Noun {Ot}
alloleksa,NOUN,Noun {Ot}
allolitlar,NOUN,Noun {Ot}
alloma,NOUN,Noun {Ot}
allomalik,NOUN,Noun {Ot}
allomerizm,NOUN,Noun {Ot}
allometamorfizm,NOUN,Noun {Ot}
allometriya,NOUN,Noun {Ot}
allomorf,NOUN,Noun {Ot}
allomorfa,NOUN,Noun {Ot}
allomorfizm,NOUN,Noun {Ot}
allonim,NOUN,Noun {Ot}
allonj,NOUN,Noun {Ot}
allopaladiy,NOUN,Noun {Ot}
allopatiya,NOUN,Noun {Ot}
alloplastika,NOUN,Noun {Ot}
allopoliploidiya,NOUN,Noun {Ot}
allopurinol,NOUN,Noun {Ot}
allosema,NOUN,Noun {Ot}
allosomalar,NOUN,Noun {Ot}
allotigen,NOUN,Noun {Ot}
allotransplantatsiya,NOUN,Noun {Ot}
allotrimorfizm,NOUN,Noun {Ot}
allotriomorfizm,NOUN,Noun {Ot}
allotropik,NOUN,Noun {Ot}
allotropiya,NOUN,Noun {Ot}
allotropizm,NOUN,Noun {Ot}
alloxetit,NOUN,Noun {Ot}
alloxol,NOUN,Noun {Ot}
alloxor,NOUN,Noun {Ot}
alloxorlar,NOUN,Noun {Ot}
alloxromatik,NOUN,Noun {Ot}
alloxromatizm,NOUN,Noun {Ot}
alloxton,NOUN,Noun {Ot}
alloxtonlar,NOUN,Noun {Ot}
allozavr,NOUN,Noun {Ot}
alluvium,NOUN,Noun {Ot}
allyatsiya,NOUN,Noun {Ot}
allyur,NOUN,Noun {Ot}
allyuvial,NOUN,Noun {Ot}
allyuviy,NOUN,Noun {Ot}
allyuziya,NOUN,Noun {Ot}
alma-terapiya,NOUN,Noun {Ot}
almagel,NOUN,Noun {Ot}
almanax,NOUN,Noun {Ot}
almandin,NOUN,Noun {Ot}
almash,VERB,Verb {Fe'l}
almashil,VERB,Verb {Fe'l}
almashin,VERB,Verb {Fe'l}
almashinil,VERB,Verb {Fe'l}
almashinmoq,ADJ,Adjective {Sifat}
almashinmoq,NOUN,Noun {Ot}
almashinmoq,PRN,Pronoun {Olmosh}
almashinuv,NOUN,Noun {Ot}
almashish,NOUN,Noun {Ot}
almashish,VERB,Verb {Fe'l}
almashla,VERB,Verb {Fe'l}
almashlamoq,ADJ,Adjective {Sifat}
almashlamoq,NOUN,Noun {Ot}
almashlamoq,PRN,Pronoun {Olmosh}
